id,neighbourhood_group,neighbourhood,room_type,minimum_nights,price,availability_365,latitude,longitude
296717,Brooklyn,Bedford-Stuyvesant,Private room,30,55.0,211,40.68907,-73.95384
298759,Brooklyn,Bedford-Stuyvesant,Private room,30,50.0,173,40.68435,-73.94825
301034,Manhattan,Harlem,Private room,30,55.0,261,40.80692,-73.95481
302238,Manhattan,Harlem,Entire home/apt,30,282.0,364,40.80752,-73.94778
302280,Manhattan,Harlem,Entire home/apt,30,200.0,324,40.8058,-73.94759
302309,Manhattan,Harlem,Entire home/apt,30,300.0,273,40.80528,-73.94742
302705,Manhattan,Upper East Side,Private room,30,65.0,218,40.77298,-73.95813
302758,Manhattan,East Harlem,Entire home/apt,30,150.0,88,40.79675,-73.93634
303264,Manhattan,Harlem,Entire home/apt,30,282.0,364,40.8073,-73.94575
305245,Manhattan,Harlem,Entire home/apt,30,250.0,364,40.80557,-73.94801
310325,Manhattan,Harlem,Private room,30,64.0,365,40.82359,-73.94601
310338,Manhattan,Harlem,Private room,30,64.0,295,40.82295,-73.94433
310524,Brooklyn,Bedford-Stuyvesant,Private room,2,156.0,345,40.69533,-73.96058
314982,Manhattan,East Village,Private room,30,89.0,278,40.73216,-73.98678
318021,Manhattan,Harlem,Private room,30,87.0,209,40.80272,-73.95316
321136,Manhattan,Washington Heights,Entire home/apt,30,223.0,240,40.83249,-73.94466
322037,Brooklyn,Williamsburg,Entire home/apt,30,238.0,304,40.71923,-73.9582
325429,Manhattan,Upper East Side,Entire home/apt,30,225.0,349,40.77534,-73.95106
332208,Brooklyn,Greenpoint,Entire home/apt,30,125.0,363,40.72617,-73.95264
333323,Manhattan,Hell's Kitchen,Private room,30,82.0,278,40.76269,-73.99361
233638,Queens,Ridgewood,Private room,30,83.0,364,40.70132,-73.90883
235552,Brooklyn,South Slope,Entire home/apt,30,361.0,173,40.66386,-73.98519
235951,Manhattan,Midtown,Entire home/apt,30,147.0,135,40.75408,-73.97071
235960,Manhattan,Lower East Side,Entire home/apt,30,206.0,159,40.72113,-73.98442
239733,Queens,Ditmars Steinway,Entire home/apt,30,250.0,358,40.77539,-73.91709
245544,Bronx,Kingsbridge,Private room,30,43.0,153,40.8666,-73.90061
245574,Brooklyn,Bedford-Stuyvesant,Private room,2,185.0,338,40.68927,-73.95439
248865,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73756,-73.9535
248966,Brooklyn,Bushwick,Private room,30,95.0,365,40.69913,-73.93107
249704,Brooklyn,Williamsburg,Entire home/apt,30,185.0,281,40.71065,-73.94102
249867,Brooklyn,Bedford-Stuyvesant,Private room,30,99.0,365,40.68532,-73.91881
250536,Manhattan,Harlem,Private room,30,121.0,358,40.81146,-73.94469
251277,Manhattan,Upper West Side,Private room,30,115.0,350,40.78615,-73.97394
253332,Brooklyn,Sunset Park,Private room,3,180.0,282,40.66161712766098,-73.99192061645073
253466,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73756,-73.9535
253471,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73756,-73.9535
253475,Brooklyn,Greenpoint,Entire home/apt,1,352.0,211,40.73756,-73.9535
253800,Brooklyn,Greenpoint,Entire home/apt,1,352.0,199,40.73756,-73.9535
253803,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73756,-73.9535
253806,Brooklyn,Greenpoint,Entire home/apt,1,352.0,213,40.73756,-73.9535
253811,Brooklyn,Greenpoint,Entire home/apt,1,352.0,211,40.73756,-73.9535
253839,Brooklyn,Greenpoint,Private room,1,428.0,212,40.73756,-73.9535
253846,Brooklyn,Greenpoint,Hotel room,1,238.0,117,40.73756,-73.9535
255476,Brooklyn,Williamsburg,Private room,30,89.0,61,40.71134819720268,-73.95338679325236
255601,Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,237.0,263,40.69101,-73.95018
255957,Manhattan,Nolita,Entire home/apt,30,495.0,266,40.72032,-73.99462
260755,Manhattan,Tribeca,Entire home/apt,30,193.0,364,40.71704,-74.00908
263005,Brooklyn,Fort Greene,Entire home/apt,30,160.0,61,40.6974983215332,-73.97722625732422
263232,Manhattan,Harlem,Entire home/apt,30,124.0,83,40.82176,-73.94522
263888,Manhattan,Upper West Side,Entire home/apt,30,246.0,99,40.79632,-73.97643
266449,Manhattan,Lower East Side,Entire home/apt,30,162.0,255,40.719482,-73.98877
266753,Manhattan,Lower East Side,Entire home/apt,30,235.0,365,40.71941,-73.98968
267652,Brooklyn,Kensington,Private room,30,78.0,53,40.64295,-73.97293
268335,Brooklyn,Williamsburg,Entire home/apt,60,175.0,238,40.72136,-73.95674
269283,Brooklyn,Crown Heights,Private room,30,65.0,120,40.66385,-73.93229
269404,Queens,Astoria,Private room,30,94.0,336,40.76716,-73.91177
270231,Queens,Woodside,Private room,30,95.0,364,40.74496,-73.91167
270345,Manhattan,East Village,Entire home/apt,30,212.0,335,40.72499,-73.99198
272026,Manhattan,Inwood,Entire home/apt,30,81.0,364,40.8677,-73.92122
274743,Manhattan,Upper East Side,Entire home/apt,30,96.0,267,40.77549,-73.95128
276021,Brooklyn,Williamsburg,Entire home/apt,180,350.0,365,40.70937,-73.9657
276317,Brooklyn,Prospect Heights,Private room,30,630.0,365,40.67782,-73.97205
277883,Brooklyn,Prospect-Lefferts Gardens,Private room,30,109.0,89,40.6556,-73.95389
279857,Brooklyn,Bedford-Stuyvesant,Entire home/apt,3,1358.0,217,40.68607,-73.95536
281851,Manhattan,Harlem,Private room,30,117.0,275,40.8078,-73.95232
286662,Brooklyn,Crown Heights,Entire home/apt,30,120.0,212,40.67223,-73.95556
287408,Manhattan,Hell's Kitchen,Entire home/apt,30,200.0,70,40.76198,-73.99361
287845,Brooklyn,Carroll Gardens,Entire home/apt,30,225.0,206,40.67933,-73.995
288726,Manhattan,Little Italy,Private room,30,108.0,100,40.719,-73.99764
433914,Brooklyn,East New York,Entire home/apt,30,90.0,90,40.67322,-73.88109
437352,Brooklyn,South Slope,Entire home/apt,90,155.0,158,40.66902,-73.98884
439750,Brooklyn,Williamsburg,Private room,150,55.0,297,40.71559,-73.94289
439870,Brooklyn,Park Slope,Entire home/apt,30,454.0,147,40.66943,-73.98188
442636,Queens,Ridgewood,Entire home/apt,30,72.0,169,40.699,-73.90295
443646,Manhattan,Upper West Side,Entire home/apt,31,425.0,178,40.78935,-73.97225
447766,Manhattan,Kips Bay,Private room,30,113.0,120,40.73958,-73.98143
336055,Bronx,Co-op City,Private room,30,37.0,244,40.86773,-73.82023
342995,Manhattan,Harlem,Private room,30,108.0,179,40.81319,-73.94194
350168,Brooklyn,Park Slope,Entire home/apt,30,198.0,0,40.67534,-73.98345
351859,Manhattan,Chelsea,Entire home/apt,30,290.0,365,40.74828,-73.9917
352651,Brooklyn,Prospect-Lefferts Gardens,Private room,30,83.0,365,40.66,-73.95203
353317,Manhattan,Chinatown,Private room,30,120.0,178,40.71481,-73.99059
355563,Brooklyn,Carroll Gardens,Entire home/apt,30,575.0,170,40.68461,-73.98984
373618,Brooklyn,Williamsburg,Private room,2,294.0,78,40.71942398164986,-73.96005436966747
385824,Bronx,Spuyten Duyvil,Entire home/apt,30,204.0,365,40.88095,-73.91701
386744,Manhattan,Upper East Side,Private room,30,120.0,165,40.77,-73.95842
